"_time",daylogins,"_span","_spandays"
1428267600,"353897.000000",86400,1
1428354000,"324766.000000",86400,1
1428440400,"317259.000000",86400,1
1428526800,"329106.000000",86400,1
1428613200,"405161.000000",86400,1
1428699600,"260645.000000",86400,1
1428786000,"196957.000000",86400,1
1428872400,"344143.000000",86400,1
1428958800,"337726.000000",86400,1
1429045200,"358762.000000",86400,1
1429131600,"335940.000000",86400,1
1429218000,"337565.000000",86400,1
1429304400,"241570.000000",86400,1
1429390800,"198291.000000",86400,1
1429477200,"366721.000000",86400,1
1429563600,"332144.000000",86400,1
1429650000,"321193.000000",86400,1
1429736400,"318941.000000",86400,1
1429822800,"342319.000000",86400,1
1429909200,"241832.000000",86400,1
1429995600,"192643.000000",86400,1
1430082000,"335476.000000",86400,1
1430168400,"344287.000000",86400,1
1430254800,"333830.000000",86400,1
1430341200,"427592.000000",86400,1
1430427600,"237457.000000",86400,1
1430514000,"183711.000000",86400,1
1430600400,"165369.000000",86400,1
1430686800,"207913.000000",86400,1
1430773200,"353867.000000",86400,1
1430859600,"347436.000000",86400,1
1430946000,"341043.000000",86400,1
1431032400,"375904.000000",86400,1
1431118800,"175278.000000",86400,1
1431205200,"188602.000000",86400,1
1431291600,"231198.000000",86400,1
1431378000,"368066.000000",86400,1
1431464400,"344307.000000",86400,1
1431550800,"349784.000000",86400,1
1431637200,"373893.000000",86400,1
1431723600,"260024.000000",86400,1
1431810000,"204119.000000",86400,1
1431896400,"355248.000000",86400,1
1431982800,"347602.000000",86400,1
1432069200,"368008.000000",86400,1
1432155600,"338932.000000",86400,1
1432242000,"330537.000000",86400,1
1432328400,"232699.000000",86400,1
1432414800,"186830.000000",86400,1
1432501200,"366451.000000",86400,1
1432587600,"336571.000000",86400,1
1432674000,"324193.000000",86400,1
1432760400,"338282.000000",86400,1
1432846800,"347166.000000",86400,1
1432933200,"239744.000000",86400,1
1433019600,"191869.000000",86400,1
1433106000,"356814.000000",86400,1
1433192400,"337634.000000",86400,1
1433278800,"333404.000000",86400,1
1433365200,"332215.000000",86400,1
1433451600,"381469.000000",86400,1
1433538000,"244987.000000",86400,1
1433624400,"191099.000000",86400,1
1433710800,"359762.000000",86400,1
1433797200,"356222.000000",86400,1
1433883600,"398225.000000",86400,1
1433970000,"396552.000000",86400,1
1434056400,"229552.000000",86400,1
1434142800,"262500.000000",86400,1
